sentence,label,gpt3_label,chatGPT_labels
Acute kidney injury in hospitalized diabetic patients linked to chronic kidney disease,1,3,3
Findings from a recent University of Cincinnati (UC) and Cincinnati Department of Veterans Affairs (VA) Medical Center study show that multiple episodes of acute kidney injury during hospital stays for patients with diabetes are associated with a risk for developing chronic kidney disease.,1,3,1
The study is published in the November issue of the Clinical Journal of the American Society of Nephrology.,0,0,0
Cam type deformities linked to MRI detected hip damage in asymptomatic young men,1,0,3
Hip impingement (femoracetabular impingement) may be a risk factor of osteoarthritis (OA) of the hip.,1,3,1
"A new study reveals that the presence of an underlying deformity, known as cam impingement, is associated with hip damage in young men without any arthritis symptoms and detected using magnetic resonance imaging (MRI).",1,3,3
One drink a day may be related to good overall health in women when older,1,3,3
"Women who drink 15 grams or less of alcohol a day (the equivalent of one drink of any alcoholic beverage) at midlife may be healthier when older than women who do not drink at all, who consume more than two drinks a day, or who consume four drinks or more at the one time.",1,3,3
"A study led by Qi Sun from the Harvard School of Public Health and the Brigham and Women's Hospital in Boston, USA, and published in this week's PLoS Medicine suggests that in women, regular, moderate alcohol consumption during middle age (average age 58 years) is related to good overall health--that is, having no major chronic diseases, such as heart disease or diabetes, and no major cognitive and physical impairment, or mental health limitations--in those who live to 70 years and beyond.",1,3,3
Use of bednets to prevent malaria saves African children s lives,3,1,1
"Saharan African countries, the rapid, widespread implementation of insecticide treated nets (often referred to as ITNs--which can prevent malaria by protecting those sleeping under them from the bites of night-flying, malaria parasite-carrying mosquitoes) has been accompanied by significant reductions in child deaths, real life findings that reflect the results of clinical trials and support continued efforts to scale-up and maintain ITN coverage in sub-Saharan Africa.",1,1,3
"In a multi-country analysis led by Stephen Lim from the Institute for Health Metrics and Evaluation based in Seattle, USA, and published in this week's PLoS Medicine, the authors analyzed and combined data from 7 surveys in 7 sub-Saharan African countries to show that children living in a household that owned an ITN were 20% less likely to have malaria parasites in their blood (parasitemia).",1,3,3
Blacks develop high blood pressure one year faster than whites,1,0,3
"Americans with prehypertension develop high blood pressure a year sooner than whites, according to research reported in Hypertension: Journal of the American Heart Association.",1,3,3
"Blacks with prehypertension also have a 35 percent greater risk of progressing to high blood pressure than whites, according to health records of 18,865 adults 18 to 85.",1,3,3
Delay in surgery can cause irreparable meniscus tears in children with ACL injuries,3,0,1
Study finds bidirectional relationship between schizophrenia and epilepsy,1,3,3
Researchers from Taiwan have confirmed a bidirectional relation between schizophrenia and epilepsy.,1,3,3
"The study published today in Epilepsia, a journal of the International League Against Epilepsy (ILAE), reports that patients with epilepsy were nearly 8 times more likely to develop schizophrenia and those with schizophrenia were close to 6 times more likely to develop epilepsy.",1,3,3
Parents  anxiety about newborn screening results does not lead to increased health care use,3,0,1
"There has been longstanding concern among physicians and policymakers that false-positive results may cause parents to believe that their children are vulnerable to illness, leading them to overuse health care services as their children grow older.",0,0,0
"However, a new study from the University of Michigan's Child Health Evaluation and Research (CHEAR) Unit, in collaboration with the Michigan Department of Community Health, has found that this is not necessarily the case.",0,0,0
Flu vaccines for nursing home workers effective in reducing outbreaks  study,3,1,1
"Higher flu vaccination rates for health care personnel can dramatically reduce the threat of flu outbreak among nursing home residents, according to a study published in the October issue of Infection Control and Hospital Epidemiology, the journal of the Society for Healthcare Epidemiology of America.",3,1,1
"The study, which focused on nursing homes in New Mexico, found that when a facility had between 51 and 75 percent of its health care personnel with direct patient care vaccinated, the chances of a flu outbreak in that facility went down by 87 percent.",1,1,1
"Christine Bouchardy, M.D., Ph.D., professor at the University of Geneva and head of the Geneva Cancer Registry, and colleagues analyzed data from 7,360 women who had breast cancer between 1980 and 2005.",0,0,0
"A review of thousands of medical records in the Danish Cancer Registry showed that patients with the skin cancer melanoma, and who also were taking a specific beta-blocker, had much lower mortality rates than did patients not taking the drug.",1,3,1
New study adds further guidance on when to start antiretroviral therapy for HIV,0,0,0
"One of the key decisions faced by people living with HIV, and by their health-care providers, is when to start treatment.",0,0,0
Some recent studies have found that starting highly active antiretroviral therapy earlier is better.,0,1,1
Preterm infants exposed to stressors in NICU display reduced brain size,1,0,1
New research shows that exposure to stressors in the Neonatal Intensive Care Unit (NICU) is associated with alterations in the brain structure and function of very preterm infants.,1,3,1
"According to the study now available in Annals of Neurology, a journal published by Wiley-Blackwell on behalf of the American Neurological Association and Child Neurology Society, infants who experienced early exposure to stress displayed decreased brain size, functional connectivity, and abnormal motor behavior.",1,1,1
Raising  good  cholesterol levels reduces heart attack and stroke risk in diabetes patients,3,1,1
That's according to a new study appearing online today in The American Journal of Cardiology.,0,0,0
Coffee consumption reduces fibrosis risk in those with fatty liver disease,3,1,1
Caffeine consumption has long been associated with decreased risk of liver disease and reduced fibrosis in patients with chronic liver disease.,0,3,3
"Now, newly published research confirms that coffee caffeine consumption reduces the risk of advanced fibrosis in those with nonalcoholic fatty liver disease (NAFLD).",3,1,1
Study reveals 15 year increase in life expectancy for people with HIV in UK,1,3,3
"People with HIV have a 15 years longer life expectancy thanks to improved treatments over the past 13 years, according to a new study published on http://www.bmj.com today.",1,1,1
"UK researchers found that the life expectancy of these patients improved significantly between 1996 and 2008, and that earlier diagnosis and timely treatment can increase life expectancy.",3,1,1
"Research has established that taking folic acid supplements during pregnancy reduces the risk of bearing a child with neural tube defects, but little is known about the relationship between prenatal folic acid and neurodevelopment after birth.",3,1,1
A collaborative study between investigators at the Norwegian Institute of Public Health and Columbia University's Mailman School of Public Health has now reported that mothers who took folic acid supplements from 4 weeks before to 8 weeks after conception reported a significantly lower prevalence of severe language delay in their children at age 3.,1,1,1
Preoperative aspirin therapy can benefit cardiac surgery patients,3,1,1
"Aspirin taken within five days of cardiac surgery is associated with a significant decrease in the risk of major postoperative complications, including renal failure, a lengthy intensive care unit stay and even early death (30-day mortality), according to a study by researchers at Thomas Jefferson University and UC Davis Medical Center set to appear in the journal Annals of Surgery.",1,1,1
"According to the study's authors, the findings are significant because despite remarkable progress in cardiac surgery, the number of major complications from cardiac surgery remains high.",0,0,0
Women with polycystic ovary syndrome at increased risk of pregnancy complications,1,3,3
"Women with polycystic ovary syndrome are more likely to have problems with pregnancy regardless of whether they are undergoing fertility treatment, claims new research published on bmj.com today.",1,3,3
Rochester study  Age a big factor in prostate cancer deaths,1,0,3
"Contrary to common belief, men age 75 and older are diagnosed with late-stage and more aggressive prostate cancer and thus die from the disease more often than younger men, according to a University of Rochester analysis published online this week by the journal, Cancer.",1,3,3
The study is particularly relevant in light of the recent controversy about prostate cancer screening.,0,0,0
Adult congenital heart patients with highest surgery costs more likely to die in hospital,1,3,3
"Higher surgical costs for adult congenital heart patients is associated with higher rates of inpatient death compared to surgical admissions that incur lower costs, according to a study in Circulation: Quality and Outcomes, a journal of the American Heart Association.",1,3,1
"In the study, researchers sought to understand resource use by adults undergoing congenital heart surgery in pediatric hospitals, analyze the association between high resource use and inpatient death, and identify risk factors for high resource use.",1,3,3
GPs take more than a month to record ovarian cancer diagnosis in one in 10 cases,0,0,3
"Family doctors can take more than a month to record ovarian cancer, once diagnosed by a specialist, in one in 10 cases, indicates research published in the launch issue of the new online journal BMJ Open.",0,3,0
"Ovarian cancer was also incorrectly or prematurely classified in 11% of cases, the data show.",0,0,0
Most  locked in syndrome  patients say they are happy,0,0,0
"The findings are likely to challenge the perception that these patients can no longer enjoy quality of life and are candidates for euthanasia or assisted suicide, say the authors.",0,0,0
UK doctors still undertreating major risk factor for stroke,1,0,0
"Despite significant improvements in stroke prevention over the past decade, and a fall in incidence and deaths, UK doctors are still undertreating one of the major risk factors - atrial fibrillation - reveals research published in BMJ Open.",1,0,0
"Atrial fibrillation, or AF for short, describes abnormal heart rhythms.",0,0,0
Elderly emergency patients less likely to receive pain medication than middle aged patients,1,3,3
A new study finds that people 75 years old or older are less likely to receive any pain medication in hospital emergency departments than middle aged people - those between 35 and 54 years old.,1,3,3
"And these differences remained even after researchers took into account how much pain the patients were having, said Timothy F. Platts-Mills, MD, lead author of the study and assistant professor of emergency medicine at the University of North Carolina at Chapel Hill School of Medicine.",0,0,3
Thomas Jefferson University Hospital cuts Whipple procedure wound infections in half with new measures,3,1,1
Thomas Jefferson University Hospital surgeons found that a carefully-selected surgical care check list of 12 measures reduced Whipple procedure wound infections by nearly 50 percent.,3,1,1
"Smoking cessation at least two weeks prior to surgery, gown and glove change prior to skin closure, and using clippers over razors to shave the surgical area are some of the measures that helped reduced infection rates, according to the study published in the October 26 online issue of the Journal of Surgical Research.",3,1,1
Brain tsunamis  are clue to helping victims of major head injuries,3,0,1
"Scientists have been investigating this phenomenon for decades, with the topic of spreading depolarizations now of keen interest to the U.S. military because head injuries have emerged as the signature wound of the wars in Iraq and Afghanistan.",0,0,0
Most lupus nephritis patients with end stage renal disease opt for hemodialysis therapy,0,0,0
Newly published research shows that more patients with end-stage renal disease (ESRD) caused by lupus nephritis choose hemodialysis as their initial kidney replacement therapy over peritoneal dialysis and preemptive kidney transplantation.,0,3,3
"Results of the study now available in Arthritis Care & Research, a journal of the American College of Rheumatology (ACR), also found that African Americans, Medicaid recipients, those without health insurance, and the unemployed had significantly reduced initiation of peritoneal dialysis.",3,3,3
"The brain scans of high school football and hockey players showed subtle injury -- even if they did not suffer a concussion - after taking routine hits to the head during the normal course of play, according to a University of Rochester Medical Center study.",1,1,3
"The research, reported  online in the journal Magnetic Resonance Imaging, is preliminary, involving a small sample of athletes, but nonetheless raises powerful questions about the consequences of the mildest head injury among youths with developing brains, said lead author Jeffrey Bazarian, M.D., M.P.H., associate professor of Emergency Medicine at URMC with a special interest in sports concussions.",3,0,0
"In geriatric medicine, the adage that age is just a number holds true.",0,0,0
New research from Wake Forest Baptist Medical Center uses a simple assessment tool to determine how well older adults diagnosed with acute myelogenous leukemia (AML) can handle treatment.,0,0,0
Many Alzheimer s patients get drugs with opposing effects,0,0,0
You wouldn't brake your car while stepping on the gas--or wash down a sleeping pill with espresso.,0,0,0
"Yet many people taking common Alzheimer's disease medications--cholinesterase inhibitors--are given medications with anticholinergic properties, which oppose their effects.",0,0,0
"In the first population-based study in women of childbearing age, those who rarely or never ate fish had 50 percent more cardiovascular problems over eight years than those who ate fish regularly.",1,3,3
Bedwetting can be due to undiagnosed constipation  research shows,3,1,1
"Bedwetting isn't always due to problems with the bladder, according to new research by Wake Forest Baptist Medical Center.",3,0,1
"Constipation is often the culprit; and if it isn't diagnosed, children and their parents must endure an unnecessarily long, costly and difficult quest to cure nighttime wetting.",0,0,0
Diabetes risk from sitting around,1,0,3
"A new study has found that women who stay seated for long periods of time every day are more prone to developing type 2 diabetes, but that a similar link wasn't found in men.",1,3,3
Researchers from the University of Leicester Departments of Health Sciences and Cardiovascular Sciences revealed that women who are sedentary for most of the day were at a greater risk from exhibiting the early metabolic defects that act as a precursor to developing type 2 diabetes than people who tend to sit less.,1,3,1
Maternal liver grafts more tolerable for children with rare disease,1,0,1
"In the study, researchers reviewed all pediatric liver transplants nationwide from 1996 to 2010, and compared the outcomes for patients who received liver grafts from their mothers with those for patients who received livers from their fathers.",1,3,3
Hopkins researchers find  Google Flu Trends  a powerful early warning system for emergency departments,0,0,3
"A report on the value of the Internet search tool for emergency departments, studied by a team of researchers at Johns Hopkins Medicine over a 21-month period, is published in the January 9 issue of Clinical Infectious Diseases.",0,0,0
Lower risk of death linked with access to key attributes of primary care  UC Davis study shows,1,3,3
"Greater access to features of high-quality primary care -- comprehensiveness, patient-centeredness and extended office hours -- is associated with lower mortality, according to a new national UC Davis study.",1,3,1
"Published in the January-February issue of the Annals of Family Medicine, the research is the first to link the availability of three specific attributes of primary care with reduced risk of death.",1,1,1
Parabens in breast tissue not limited to women who have used underarm products,1,0,0
New research into the potential link between parabens and breast cancer has found traces of the chemicals in breast tissue samples from all of the women in the study.,1,3,3
"Parabens are commonly used as preservatives in cosmetics, food products and pharmaceuticals.",0,0,0
Women report feeling pain more intensely than men  says Stanford study of electronic medical records,1,0,3
"Their study, to be published online Jan. 23 in the Journal of Pain, suggests that stronger efforts should be made to recruit women subjects in population and clinical studies in order to find out why this gender difference exists.",0,0,0
Lifelong brain stimulating habits linked to lower Alzheimer s protein levels,1,3,3
"A new study led by researchers at the University of California, Berkeley, provides even more reason for people to read a book or do a puzzle, and to make such activities a lifetime habit.",0,0,0
"Brain scans revealed that people with no symptoms of Alzheimer's who engaged in cognitively stimulating activities throughout their lives had fewer deposits of beta-amyloid, a destructive protein that is the hallmark of the disease.",1,3,3
Coronary artery stenting viable palliative option for infants and toddlers,0,0,0
Percutaneous coronary intervention (PCI) is not a generally accepted option for infants or toddlers with acute coronary syndrome.,0,0,0
"However, a new report published in the August issue of Catheterization and Cardiovascular Interventions, a journal of The Society for Cardiovascular Angiography and Interventions (SCAI), found coronary stent implantation to be a feasible and safe palliative option for children fifteen months and younger.",3,1,0
Lack of sleep is linked to obesity  new evidence shows,1,3,3
Can lack of sleep make you fat?,3,0,1
A new paper which reviews the evidence from sleep restriction studies reveals that inadequate sleep is linked to obesity.,1,3,0
Liver stiffness predicts liver failure  cancer and mortality in cirrhotic patients,1,3,3
"Researchers from Spain established that liver stiffness, measured by transient elastography (TE), is an independent predictor of liver failure, hepatocellular carcinoma (HCC), and mortality in cirrhotic patients coinfected with the human immunodeficiency virus (HIV) or acquired immune deficiency syndrome (AIDS), and hepatitis C virus (HCV).",1,3,3
"Findings available in the July issue of Hepatology, a journal published by Wiley on behalf of the American Association for the Study of Liver Diseases, also show that measurement of liver stiffness predicts potential recovery and survival in patients with cirrhosis, adding to the prognosis value provided by the Child-Turcotte-Pugh (CTP) or model for end-stage liver disease (MELD) scores.",1,3,3
CDC reports that unexplained skin condition is non infectious  not linked to environmental cause,1,0,0
The US Centers for Disease Control and Prevention has completed a comprehensive study of an unexplained skin condition commonly referred to as Morgellons and found no infectious agent and no evidence to suggest an environmental link.,1,1,0
The full results are reported in the Jan. 25 issue of the online journal PLoS ONE.,0,0,0
Young children exposed to anesthesia multiple times show elevated rates of ADHD,1,3,1
Mayo Clinic researchers have found that multiple exposures to anesthesia at a young age are associated with higher rates of attention-deficit/hyperactivity disorder (ADHD).,1,3,1
"Children exposed to two or more anesthetics before age 3 had more than double the incidence of ADHD than children who had no exposure, says David Warner, M.D., a Mayo Clinic pediatric anesthesiologist and investigator on the observational study.",1,3,3
High triglyceride levels found to predict stroke in older women,1,3,3
"In a surprising finding with significant implications for older women, researchers at Albert Einstein College of Medicine of Yeshiva University and NYU School of Medicine have found that high levels of triglycerides (blood fats) are the strongest risk factor for the most common type of stroke in older women - more of a risk factor than elevated levels of total cholesterol or of low-density lipoprotein (LDL) cholesterol (known as ""bad"" cholesterol).",1,3,1
The study appears online today in Stroke.,0,0,0
Triglyceride levels predict stroke risk in postmenopausal women,1,3,3
Postmenopausal women may be at higher risk of having a stroke than they think.,1,3,0
A new study by researchers at NYU Langone Medical Center and colleagues found that traditional risk factors for stroke - such as high cholesterol - are not as accurate at predicting risk in postmenopausal women as previously thought.,1,3,3
Cannabis use doubles chances of vehicle crash,3,0,1
Drivers who consume cannabis within three hours of driving are nearly twice as likely to cause a vehicle collision as those who are not under the influence of drugs or alcohol claims a paper published today on bmj.com.,1,3,1
"The paper's authors, from Dalhousie University, reviewed nine studies with a total sample of 49,411 people to determine whether the consumption of cannabis increases the risk of a motor vehicle collision.",3,3,1
Older adults who sleep poorly react to stress with increased inflammation,1,0,1
"In the study, stress led to significantly larger increases in a marker of inflammation in poor sleepers compared to good sleepers--a marker associated with poor health outcomes and death.",3,1,1
UNC study identifies pockets of high cervical cancer rates in North Carolina,0,3,0
A study of cervical cancer incidence and mortality in North Carolina has revealed areas where rates are unusually high.,1,3,0
Pregnancy related complications predict CVD in middle age,1,3,3
"""We wanted to learn about possible explanations as to why women with pregnancy complications tend to have more heart disease later in life,"" said Abigail Fraser, M.P.H., Ph.D., School of Social and Community Medicine at the University of Bristol, United Kingdom.",0,3,0
"Older women whose diets include a substantial amount of trans fats are more likely than their counterparts to suffer an ischemic stroke, a new study shows.",1,3,1
"However, the risk of stroke associated with trans fat intake was lower among women taking aspirin, according to the findings from University of North Carolina at Chapel Hill researchers.",1,3,3
New research suggests PIP implant failures significantly higher than previously thought,0,1,0
"New research published in the Journal of Plastic, Reconstructive and Aesthetic Surgery suggests that the failure rate of silicone breast implants manufactured by Poly Implant Prosth&#232;se (PIP) could be as high as 33.8%.",0,3,0
"Patients who received PIP implants either for primary or secondary breast augmentation, between January 2000 and August 2005, were studied to determine implant failure rate and other complications.",0,3,0
Reducing hospital admissions for asthmatics,0,0,0
This release is available in French.,0,0,0
Children with moderate or severe asthma attacks who are treated with systemic corticosteroids during the first 75 minutes of triage in the Emergency Department (ED) were 16% less likely to be admitted to hospital.,1,3,1
New study examines stair related injuries among children in the US,0,0,0
"A new study by researchers at the Center for Injury Research and Policy of The Research Institute at Nationwide Children's Hospital found that from 1999 through 2008, more than 93,000 children younger than 5 years of age were treated in U.S. emergency departments for stair-related injuries.",0,3,0
"On average, this equates to a child younger than 5 years of age being rushed to an emergency department for a stair-related injury every six minutes in the U.S.",0,3,0
Smoking ban in Scotland linked to dramatic fall in preterm deliveries,1,3,1
"These findings add to the growing evidence of the wide-ranging health benefits of smoke-free legislation and support the adoption of such legislation in other countries, which have yet to implement smoking bans.",0,3,3
Stanford scientists discover drug side effects  interactions using new computer algorithm,0,0,1
"A week ago, you started a new prescription medication for acne.",0,0,0
"Today, you feel dizzy and short of breath and have difficulty concentrating.",0,0,0
Are parents price sensitive about their children s medication,0,0,0
"In a sample of 8,834 patients from across the United States, the researchers looked at how out-of-pocket medication costs affect health outcomes for children.",3,3,3
Mayo Clinic study suggests coronary stents not harmful to patients with history of metal allergy,3,0,1
Cardiologists have long grappled with how to best manage patients with coronary artery disease who report skin hypersensitivity to nickel or other metal components found in stents -- small tubes placed in narrowed or weakened arteries to help improve blood flow to the heart.,0,0,0
"But new Mayo Clinic research, published in the April 16, 2012, issue of Circulation: Cardiovascular Interventions, may help allay these concerns.",0,0,0
Stopping statin therapy increases risk of death for rheumatoid arthritis patients,3,0,1
Patients with rheumatoid arthritis (RA) who discontinue use of statin therapy are at increased risk of death from cardiovascular disease and other causes.,1,3,1
"According to the findings of a population-based study now available in Arthritis Care & Research, a journal published by Wiley-Blackwell on behalf of the American College of Rheumatology (ACR), RA patients should be advised of the importance of compliance to their statin therapy to reduce cardiovascular disease (CVD) mortality risk.",3,0,1
Puzzling over links between monkey research and human health,1,0,0
"Studies in monkeys are unlikely to provide reliable evidence for links between social status and heart disease in humans, according to the first ever systematic review of the relevant research.",1,0,0
"The study, published in PLoS ONE, concludes that although such studies are cited frequently in human health research the evidence is often ""cherry picked"" and generalisation of the findings from monkeys to human societies does not appear to be warranted.",0,0,0
Concerns about MRSA for expectant mothers may be unfounded,0,0,0
"The need to swab the noses of pregnant women and newborns for the presence of MRSA (methicillin-resistant Staphylococcus aureus) may be unfounded, according to a Vanderbilt study now available online and published in the May issue of Pediatrics.",0,1,3
"The study's senior author, Buddy Creech, M.D., MPH, assistant professor of Pediatrics, said it is often feared that mothers carrying MRSA may risk transmitting an infection to their newborn babies, but Vanderbilt Pediatric Infectious Diseases researchers found that babies rarely became ill from MRSA infections, despite frequently carrying the germ.",0,3,0
Studies  Memory declines faster in years closest to death  mental activity best protection,1,3,3
New research finds that a person's memory declines at a faster rate in the two- and-a-half years before death than at any other time after memory problems first begin.,1,3,3
Dental X rays linked to common brain tumor,1,0,0
"Meningioma, the most common primary brain tumor in the United States, accounts for about 33 percent of all primary brain tumors.",0,0,0
The most consistently identified environmental risk factor for meningioma is exposure to ionizing radiation.,1,3,1
Frequent dental X rays linked to most common brain tumor,1,0,3
"That is the finding of a study published early online in Cancer, a peer-reviewed journal of the American Cancer Society.",0,0,3
Metformin can substantially reduce the risk of Parkinson s disease in diabetes,3,0,1
"This study also found that by including metformin in the therapy, no increased risk in developing Parkinson's disease was recorded.",1,1,3
Common acne medication doubles risk of eye infection,3,0,1
"Millions of teenagers suffer from acne, and they deal with the embarrassing skin blemishes by taking popular prescription medications such as Accutane or Roaccutane.",0,0,0
"Now, however, research from Tel Aviv University shows that these pills can also cause eye infections such as conjunctivitis (pink eye) or sties.",3,1,1
"Scientists from the University of Edinburgh, a BHF Centre of Research Excellence, in collaboration with the University of Cambridge are the first to demonstrate the potential of combining PET and CT scanning to image the disease processes directly in the coronary arteries that cause heart attacks (2).",0,0,0
"""The study showed that not only exercise but also activities such as cooking, washing the dishes and cleaning are associated with a reduced risk of Alzheimer's disease,"" said study author Aron S. Buchman, MD, with Rush University Medical Center in Chicago and a member of the American Academy of Neurology.",1,3,3
"""The results of our study indicate that all physical activities including exercise as well as other activities such as cooking, washing the dishes, and cleaning are associated with a reduced risk of Alzheimer's disease,"" said Dr. Aron S. Buchman, lead author of the study and associate professor of neurological sciences at Rush.",1,3,3
Invasive heart test being dramatically overused  Stanford study shows,0,3,1
"An invasive heart test used routinely to measure heart function is being dramatically overused, especially among patients who recently underwent similar, more effective tests, according to a new study from the Stanford University School of Medicine.",0,3,0
"""This adds both risk to the patient and significant extra cost,"" said first author of the study Ronald Witteles, MD, assistant professor of cardiovascular medicine and program director of Stanford's internal medicine residency training program, who called the rates of unnecessary use ""shockingly high.""",3,0,0
Genetic test identifies eye cancer tumors likely to spread,1,0,0
"Researchers at Washington University School of Medicine in St. Louis have developed a genetic test that can accurately predict whether the most common form of eye cancer will spread to other parts of the body, particularly the liver.",1,1,0
"In 459 patients with ocular melanoma at 12 centers in the United States and Canada, the researchers found the test could successfully classify tumors more than 97 percent of the time.",1,3,0
Modest alcohol consumption lowers risk and severity of liver disease,3,3,1
"People with nonalcoholic fatty liver disease (NALFD) who consume alcohol in modest amounts - no more than one or two servings per day - are half as likely to develop hepatitis as non-drinkers with the same condition, reports a national team of scientists led by researchers at the University of California, San Diego School of Medicine.",1,1,1
"The findings are published in the April 19, 2012 online issue of The Journal of Hepatology.",0,0,0
Early menopause linked to higher risk of osteoporosis  fracture and mortality,1,3,1
"Women who go through the menopause early are nearly twice as likely to suffer from osteoporosis in later life, suggests new research published today (25 April) in BJOG: An International Journal of Obstetrics and Gynaecology.",1,3,3
"The Swedish study looked at the long-term effects of early menopause on mortality, risk of fragility fracture and osteoporosis.",3,3,3
Even small weight gains raise blood pressure in college students,3,0,1
"As a college student, you may be happy simply not to have gained the ""Freshman 15.""",0,0,0
"But a University of Illinois study shows that as little as 5 pounds per year is enough to raise blood pressure in that age group, and the effect was worse for young women.",3,1,1
Smoking during pregnancy linked to severe asthma in teen years,1,3,1
"American and Latino children whose mothers smoked during pregnancy are more likely to suffer from acute asthma symptoms in their teens than asthma sufferers whose mothers did not smoke, according to a new study led by a research team at UCSF.",1,3,1
"In an analysis of nearly 2,500 Latino and African-American children with asthma, the researchers found that children between age 8 and 17 with acute asthma symptoms were far more likely to have had mothers who smoked during pregnancy, even when the team controlled for elements such as education, socioeconomic level and childhood exposure to tobacco smoke.",1,3,3
Higher risk of birth defects from assisted reproduction,1,0,1
A University of Adelaide study has identified the risk of major birth defects associated with different types of assisted reproductive technology.,1,1,1
"In the most comprehensive study of its kind in the world, researchers from the University's Robinson Institute have compared the risk of major birth defects for each of the reproductive therapies commonly available internationally, such as: IVF (in vitro fertilization), ICSI (intracytoplasmic sperm injection) and ovulation induction.",1,3,0
Evidence that BMI has an independent and causal effect on heart disease risk,3,1,1
"In addition to the many risk factors associated with poor health, reducing body mass index (BMI) will have a considerable and independent impact if you want to reduce the risk of developing ischemic heart disease (IHD).",3,1,1
"This is the key finding from new research, published in PLoS Medicine, which evaluated the causal relationship between BMI and heart disease in 76,000 individuals.",3,1,1
16 years old is peak risk for teens misusing prescription drugs,1,0,0
"The peak risk for misusing prescription pain relievers occurs in mid-adolescence, specifically about 16 years old and earlier than many experts thought, according to a new study by Michigan State University researchers.",1,1,0
"The results, based on recent nationwide surveys of nearly 120,000 U.S. adolescents, suggest prevention programs may need to be introduced earlier, in childhood and early adolescence, said James C. Anthony of MSU's Department of Epidemiology and Biostatistics.",0,0,3
Too much vitamin D can be as unhealthy as too little,3,0,3
Scientists know that Vitamin D deficiency is not healthy.,0,0,1
"However, new research from the University of Copenhagen now indicates that too high a level of the essential vitamin is not good either.",3,0,1
Drawing test can predict subsequent stroke death in older men,1,3,3
"The relationship between executive dysfunction and post-stroke mortality: a population-based cohort study doi 10.1136/bmjopen-2011-000458 A simple drawing test can predict the long-term risk of dying after a first stroke among older men, finds research published in the online journal BMJ Open.",1,3,3
"Despite treatment advances, stroke is still a leading cause of death and disability, with older age and impaired intellectual capacity (cognitive function) before a stroke associated with higher risks of death and disability afterwards.",0,3,3
Culprit responsible for severe systemic scleroderma complications in African Americans found,3,0,1
"A new analysis finds that compared to Caucasians, African-Americans with systemic scleroderma have more antibodies in the blood that are linked to severe complications and an increased likelihood of death.",1,1,3
"They say this finding, published today in Arthritis & Rheumatism, suggests physicians can use these disease markers to screen and treat scleroderma patients proactively.",0,1,3
Systemic sclerosis complications more severe in African Americans than Caucasians,1,3,3
"African Americans have more severe complications from systemic sclerosis, also known as scleroderma, than Caucasians.",1,3,3
"Findings published today in, Arthritis & Rheumatism, a journal of the American College of Rheumatology (ACR), show that compared with Caucasians, African-American patients were more likely to have antibodies that increased frequency and severity of pulmonary fibrosis, which is associated with decreased survival.",1,3,3
Study adds to evidence on clot risks of non oral contraceptives,1,3,0
OHSU study  Misdiagnosis of MS is costing health system millions per year,0,0,1
"It is relatively common for doctors to diagnose someone with multiple sclerosis when the patient doesn't have the disease -- a misdiagnosis that not only causes patients potential harm but costs the U.S. health care system untold millions of dollars a year, according to a study published online today in the journal Neurology.",3,3,1
The study is based on a survey of 122 multiple sclerosis specialists nationwide and was conducted by researchers at Oregon Health & Science University and the Portland Veterans Affairs Medical Center.,0,0,0
Sequencing works in clinical setting to help    finally    get a diagnosis,0,0,0
"""I thought if we could obtain even a couple of relatively secure diagnoses out of the 12 patients, that would prove the value of deploying sequencing approaches systematically in patients with unknown but apparently genetic conditions,"" said  David Goldstein, Ph.D., director of the Duke Center for Human Genome Variation and professor of molecular genetics and microbiology.",0,0,0
Study finds number of battery related emergency department visits by children more than doubles,0,3,3
They power countless gadgets and electronic items that we use every day.,0,0,0
Study examines injuries with baby bottles  pacifiers and sippy cups in the US,0,3,0
"A new study by researchers in the Center for Biobehavioral Health and the Center for Injury Research and Policy at Nationwide Children's Hospital examined pediatric injuries associated with baby bottles, pacifiers and sippy cups.",0,3,0
"Researchers found that from 1991 to 2010, an estimated 45,398 children younger than three years of age were treated in U.S. emergency departments for injuries related to the use of these products.",0,3,0
3 center study identifies main causes of unprofessional behavior among hospitalists,3,0,1
"Unprofessional behavior among hospitalists is rare, but those who do behave poorly share common features, according to research published in the Journal of Hospital Medicine.",0,3,0
"American researchers spoke to 77 Illinois hospitalists - doctors who provide care tailored to the needs of hospitalized patients as a general internist, rather than focusing on an organ, disease or a specific patient age-group.",0,0,0
Weight loss clinic drop out rates are a huge barrier to treating obesity,1,0,0
More than 7 billion people worldwide may be classified as overweight and need appropriate medical or surgical treatment with the goal of sustainable weight loss.,0,0,0
"But for weight management programs to be effective, patients must complete them, states a study published in the Canadian Journal of Surgery (CJS) that analyzed drop-out rates and predictors of attrition within a publicly-funded adult weight management program.",0,3,1
"Caesarean section delivery has already been linked to an increased risk of subsequent childhood asthma and allergic rhinitis, and around one in three babies born in the US is delivered this way.",0,3,3
In minutes a day  low income families can improve their kids  health,3,0,1
"""Children whose families engaged with each other over a 20-minute meal four times a week weighed significantly less than kids who left the table after 15 to 17 minutes.",1,3,1
WSU study finds overwhelming evidence of hidden heart disease in hypertensive African Americans,1,3,3
A Wayne State University School of Medicine study has found that an overwhelming majority of African-American patients with hypertension also suffered hidden heart disease caused by high blood pressure even though they displayed no symptoms.,1,1,1
